Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,55.910000,55.950001,55.040001,55.349998,51.318497,7809300
2017-01-04,55.560001,56.200001,55.380001,55.990002,51.911888,7796300
2017-01-05,56.080002,56.529999,55.810001,56.459999,52.347645,7602300
2017-01-06,56.630001,57.270000,56.080002,57.130001,52.968849,8587800
2017-01-09,57.259998,58.340000,57.250000,58.200001,53.960911,12640500
2017-01-10,58.220001,58.259998,57.830002,57.880001,53.664227,6671800
2017-01-11,57.799999,58.119999,57.590000,58.099998,53.868202,6028000
2017-01-12,58.000000,58.130001,57.639999,58.029999,53.803295,4733000
2017-01-13,58.029999,58.099998,57.650002,57.849998,53.636414,4745600
2017-01-17,57.619999,58.250000,57.410000,58.000000,53.775482,5734700
2017-01-18,58.320000,58.580002,58.029999,58.450001,54.192699,7375700
2017-01-19,58.310001,58.450001,57.720001,57.889999,53.673489,7850500
2017-01-20,58.139999,58.200001,57.410000,57.660000,53.460247,7651600
2017-01-23,57.419998,57.900002,57.150002,57.759998,53.552959,6814400
2017-01-24,57.930000,58.500000,57.759998,58.439999,54.183434,10704100
2017-01-25,58.669998,58.930000,58.450001,58.700001,54.424496,7117600
2017-01-26,58.700001,59.000000,58.259998,58.459999,54.201973,12382400
2017-01-27,55.750000,56.590000,55.650002,56.119999,52.032410,28884900
2017-01-30,56.000000,56.240002,55.580002,55.900002,51.828442,13322000
2017-01-31,55.799999,55.869999,54.880001,55.220001,51.197975,14308000
2017-02-01,55.490002,55.500000,53.810001,53.900002,49.974121,18796900
2017-02-02,54.040001,54.389999,53.849998,53.869999,49.946301,15289700
2017-02-03,54.209999,55.099998,54.009998,55.060001,51.049625,14161700
2017-02-06,55.009998,55.750000,54.900002,55.730000,51.670818,13029800
2017-02-07,55.790001,55.840000,55.180000,55.240002,51.447300,9910500
2017-02-08,55.189999,55.500000,55.099998,55.220001,51.428677,11681900
2017-02-09,55.230000,56.119999,55.209999,55.810001,51.978161,11106800
2017-02-10,55.730000,56.400002,55.560001,56.220001,52.360012,11179000
2017-02-13,56.500000,56.660000,56.029999,56.110001,52.257572,8027900
2017-02-14,56.020000,56.610001,56.020000,56.580002,52.695293,8865900
2017-02-15,56.560001,56.880001,56.310001,56.860001,52.956078,6967200
2017-02-16,56.959999,56.990002,56.529999,56.730000,52.834991,8524500
2017-02-17,56.799999,57.570000,56.709999,57.349998,53.412430,11008400
2017-02-21,57.410000,57.810001,57.400002,57.540001,53.589394,8289200
2017-02-22,57.520000,57.849998,57.349998,57.570000,53.617329,7876600
2017-02-23,57.599998,57.790001,57.389999,57.639999,53.682522,7178600
2017-02-24,57.610001,57.709999,57.150002,57.480000,53.533508,7806200
2017-02-27,57.240002,57.299999,56.660000,56.779999,52.881557,7702400
2017-02-28,56.709999,57.060001,56.549999,56.869999,52.965385,8750700
2017-03-01,57.270000,57.400002,56.939999,57.139999,53.216854,7198000
2017-03-02,57.070000,57.189999,56.849998,57.119999,53.198219,6595400
2017-03-03,56.700001,57.259998,56.700001,57.099998,53.179596,7735900
2017-03-06,56.779999,56.810001,56.330002,56.680000,52.788429,9160000
2017-03-07,56.580002,56.750000,56.020000,56.200001,52.341393,10890300
2017-03-08,56.150002,56.349998,55.540001,55.740002,51.912971,13061600
2017-03-09,55.750000,55.799999,54.810001,55.189999,51.400730,17844200
2017-03-10,55.389999,55.400002,54.419998,54.529999,50.786045,13886400
2017-03-13,54.570000,54.880001,54.400002,54.630001,50.879181,9090200
2017-03-14,54.619999,54.740002,54.189999,54.270000,50.543900,7892900
2017-03-15,54.389999,54.650002,54.090000,54.540001,50.795361,8712000
2017-03-16,54.849998,54.990002,54.660000,54.799999,51.037510,8074300
2017-03-17,55.040001,56.130001,54.950001,55.779999,51.950222,15822100
2017-03-20,55.869999,56.049999,55.509998,55.810001,51.978161,7948400
2017-03-21,56.049999,56.450001,55.490002,55.540001,51.726707,8030600
2017-03-22,55.680000,56.040001,55.509998,55.889999,52.052673,8452100
2017-03-23,56.150002,56.430000,55.779999,55.849998,52.015423,7357200
2017-03-24,56.110001,57.380001,55.900002,56.810001,52.909500,15763000
2017-03-27,56.660000,57.450001,56.459999,57.230000,53.300667,8861800
2017-03-28,57.099998,57.520000,57.029999,57.349998,53.412430,8331600
2017-03-29,57.169998,57.849998,57.130001,57.540001,53.589394,7001600
2017-03-30,57.450001,58.299999,57.419998,58.160000,54.166817,8677900
2017-03-31,58.110001,58.660000,58.060001,58.389999,54.381023,9156700
2017-04-03,58.279999,58.470001,57.889999,58.439999,54.427593,8989000
2017-04-04,58.369999,58.410000,58.009998,58.320000,54.315838,6474800
2017-04-05,57.959999,59.270000,57.810001,58.220001,54.222698,13656200
2017-04-06,58.130001,58.360001,57.730000,57.919998,53.943291,9112500
2017-04-07,57.799999,58.250000,57.549999,58.020000,54.036427,6773800
2017-04-10,58.000000,58.209999,57.730000,57.950001,53.971233,5266300
2017-04-11,57.740002,58.160000,57.380001,57.880001,53.906044,5855100
2017-04-12,57.880001,57.900002,57.480000,57.580002,53.626640,5450300
2017-04-13,57.610001,57.790001,57.450001,57.509998,53.561443,4871700
2017-04-17,57.680000,58.250000,57.680000,58.080002,54.092312,5626000
2017-04-18,57.590000,58.480000,57.590000,58.349998,54.343769,5449300
2017-04-19,58.599998,59.490002,58.500000,59.040001,54.986401,12000600
2017-04-20,59.709999,60.340000,59.560001,60.080002,55.954990,12445900
2017-04-21,60.200001,60.689999,60.150002,60.610001,56.448597,8800000
2017-04-24,61.000000,61.380001,60.889999,61.110001,56.914272,10721300
2017-04-25,60.650002,61.209999,59.919998,60.959999,56.774574,11031500
2017-04-26,61.230000,61.750000,60.980000,61.560001,57.333382,8525400
2017-04-27,61.630001,61.939999,61.189999,61.299999,57.091225,15285300
2017-04-28,59.410000,60.180000,58.990002,60.060001,55.936367,25046100
2017-05-01,60.000000,60.599998,59.759998,60.180000,56.048126,10910300
2017-05-02,60.150002,60.520000,60.040001,60.500000,56.346149,9152100
2017-05-03,60.520000,60.669998,60.259998,60.590000,56.429974,7706400
2017-05-04,60.650002,60.849998,60.389999,60.830002,56.653500,6874300
2017-05-05,60.950001,60.990002,60.580002,60.950001,56.765259,6443300
2017-05-08,61.070000,61.070000,60.700001,60.939999,56.755943,5588400
2017-05-09,60.580002,61.080002,60.570000,60.980000,57.027142,5806600
2017-05-10,60.880001,60.980000,60.209999,60.660000,56.727894,7198400
2017-05-11,60.450001,60.509998,60.029999,60.270000,56.363174,5516900
2017-05-12,60.279999,60.340000,59.830002,59.930000,56.045212,5647500
2017-05-15,60.419998,60.490002,60.130001,60.450001,56.531506,5904100
2017-05-16,60.680000,60.700001,59.880001,59.980000,56.091969,6303500
2017-05-17,59.970001,60.320000,59.549999,59.730000,55.858170,7581200
2017-05-18,59.730000,59.939999,58.869999,59.820000,55.942341,8602400
2017-05-19,59.939999,61.919998,59.939999,61.360001,57.382507,12531000
2017-05-22,61.029999,61.720001,61.029999,61.230000,57.260944,6391600
2017-05-23,61.400002,61.500000,60.860001,61.150002,57.186127,5622500
